Size,Processes,Time(ms)
100,1,2.83
100,4,1.18
100,8,1.17
100,12,1.41
200,1,22.08
200,4,6.33
200,8,4.08
200,12,3.98
300,1,74.66
300,4,19.69
300,8,11.48
300,12,9.60
400,1,178.14
400,4,46.33
400,8,26.06
400,12,25.19
500,1,347.73
500,4,89.22
500,8,49.46
500,12,42.59
600,1,599.59
600,4,153.45
600,8,82.70
600,12,64.03
700,1,956.06
700,4,248.69
700,8,133.60
700,12,113.45
800,1,1438.02
800,4,374.00
800,8,221.00
800,12,213.30
900,1,2040.34
900,4,610.27
900,8,350.03
900,12,322.00
1000,1,2857.56
1000,4,820.25
1000,8,570.28
1000,12,485.45
1100,1,3843.22
1100,4,1136.34
1100,8,772.49
1100,12,672.93
1200,1,5079.63
1200,4,1559.79
1200,8,1095.23
1200,12,929.44
1300,1,6819.40
1300,4,2199.82
1300,8,1378.12
1300,12,1123.82
1400,1,8403.74
1400,4,2603.99
1400,8,1676.81
1400,12,1395.83
1500,1,10371.67
1500,4,3293.41
1500,8,2127.10
1500,12,1837.33
1600,1,12741.00
1600,4,4054.21
1600,8,2621.59
1600,12,2256.21
1700,1,15042.80
1700,4,4921.72
1700,8,3123.17
1700,12,2679.50
1800,1,18795.08
1800,4,5823.75
1800,8,3782.89
1800,12,3391.28
1900,1,23550.80
1900,4,7166.89
1900,8,4541.02
1900,12,3977.68
2000,1,29161.00
2000,4,8694.55
2000,8,5534.30
2000,12,4610.30
